Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
7-Eleven,4401,N Pulaski Rd,,,Beverly,Chicago,,Active,Retail,Convenience,No,2019,Grocery Stores,773-267-1470,,POINT(-87.7277558422868 41.9610119907053),-87.72775584,41.96101199,
A Windy City Carpet Maintenance,4415,N Harding Ave,,,Bridgeport,Chicago,,Unknown,Trade Service,Indoor service,Yes,2019,web might be for diff company,800-799-8779,,POINT(-87.7265655898067 41.9614749222054),-87.72656559,41.96147492,
A-Z Machine,3716,W Montrose Ave,,,Brighton Park,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-588-2211,,POINT(-87.7212893 41.9611172),-87.7212893,41.9611172,
A&C Heating & Cooling,3906,W Ainslie St,,,Burnham,Chicago,,Active,Trade Service,Building trades,Yes,2019,"Plumbing, heating, and Air-conditioning. General contractor, and he works through Government organizations. He does not receive any calls personally from people in the neighborhood.",773-971-6378,,POINT(-87.7260105001314 41.9701104679428),-87.7260105,41.97011047,
A&D Sheet Metal,3613,W Lawrence Ave,,,Burnside,Chicago,,Active,Industrial,Finished goods,No,2019,Plbng Htng Air-Co,773-478-0722,,POINT(-87.7188854217256 41.9682618167021),-87.71888542,41.96826182,
A&G Plumbing,5105,N Tripp Ave,,,Calumet Heights,Chicago,,Unknown,Trade Service,Building trades,Yes,2019,some web,773-736-5101,,POINT(-87.7342965899565 41.9738488634173),-87.73429659,41.97384886,
A1 Chicago Cleaning,4900,N Drake Ave,,,Calumet Park,Chicago,,Out of Business,Trade Service,Indoor service,Yes,2019,Repair Services Nec,312-687-4686,,POINT(-87.7171094030015 41.9704379685303),-87.7171094,41.97043797,
AA Best Appliance Service,4540,N Springfield Ave,,,Chatham,Chicago,,Active,Trade Service,Other repair,Yes,2019,Electl RPR Shps Ne,773-267-9440,,POINT(-87.7254994359899 41.9640468262003),-87.72549944,41.96404683,
AAA Sealcoating,3733,W Wilson Ave,,,Chicago Lawn,Chicago,,Out of Business,Trade Service,Building trades,Yes,2019,Insurance Agnts Sv,312-257-6390,,POINT(-87.7219826646032 41.9646444958694),-87.72198266,41.9646445,
Aarzee Money Transmitters,3821,W Lawrence Ave,,,Cicero,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,,872-208-5903,,POINT(-87.7240890001454 41.968258513881),-87.724089,41.96825851,
Accentuated Behavioral Concept,3353,W Wilson Ave,,,Clearing,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,,773-698-5659,,POINT(-87.7128210003454 41.9646504666665),-87.712821,41.96465047,
Accessories & Beauty,4728,N Kedzie Ave,,,Des Plaines,Chicago,,Active,Retail,Beauty-Accessory,No,2019,,773-293-6432,,POINT(-87.7085155692247 41.9675075247361),-87.70851557,41.96750752,
Accurate Glass Shop,3214,W Montrose Ave,,,Douglas,Chicago,,Active,Retail,Auto Supply,No,2019,Glass Glazing Work,773-267-4177,,POINT(-87.70892441946 41.961222511875),-87.70892442,41.96122251,
Ace Sign,4518,W Lawrence Ave,,,Dunning,Chicago,,Active,Retail,Other,No,2019,Electrical Work,773-545-1900,,POINT(-87.7422910282499 41.9681075116581),-87.74229103,41.96810751,
Active Electrical Supply,4240,W Lawrence Ave,,,East Garfield Park,Chicago,,Active,Retail,Hardware,No,2019,Elec Appratus Equi,773-282-6300,,POINT(-87.7345238610285 41.9681894858836),-87.73452386,41.96818949,
Acupuncture,4751,N Kedzie Ave,,,East Side,Chicago,,Active,Health Services,Alternative medicine,No,2019,,773-895-1188,,POINT(-87.7081196 41.9680956),-87.7081196,41.9680956,
Admiral Theater,3940,W Lawrence Ave,,,Edgewater,Chicago,,Active,Arts and Entertainment,Club-lounge-bar,No,2019,Amusement Recreation N,773-478-8263,,POINT(-87.7271315032829 41.9682594529642),-87.7271315,41.96825945,
Adobe Construction,5019,N Kilbourn Ave,,,Elmwood Park,Chicago,,Out of Business,Trade Service,Building trades,Yes,2019,,773-817-3468,,POINT(-87.7405230970584 41.9723551153398),-87.7405231,41.97235512,
Adoring Flooring,5026,N Springfield Ave,,,Englewood,Chicago,,Active,Trade Service,Building trades,Yes,2019,Floor Covering Strs,773-677-7418,,POINT(-87.7257784140895 41.9724091805914),-87.72577841,41.97240918,
Adrian's Food Market,3258,W Montrose Ave,,,Evergreen Park,Chicago,60618,Active,Retail,Small Grocery,No,2019,,773-539-3889,,POINT(-87.7105459 41.9613774),-87.7105459,41.9613774,
Advance Auto Parts,3452,W Montrose Ave,,,Franklin Park,Chicago,,Active,Retail,Auto Supply,No,2019,Auto Home Sppl Str,773-588-8501,,POINT(-87.7148240853255 41.9611921178815),-87.71482409,41.96119212,
Advance Distributors,4949,N Pulaski Rd,,,Fuller Park,Chicago,,Active,Retail,Large grocery,No,2019,Nondurable Gds Nec,773-539-1900,,POINT(-87.7280830644089 41.9716083667484),-87.72808306,41.97160837,
Afandina Grocery and Meat Market,4605,N Kedzie Ave,,,Gage Park,Chicago,,Out of Business,Retail,Small Grocery,No,2019,Meat Fish Markets,773-942-6478,,POINT(-87.7083167531877 41.9648774507224),-87.70831675,41.96487745,
Affordable Auto Repairs,3700,W Montrose Ave,,,Garfield Ridge,Chicago,,Active,Trade Service,Vehicle services,No,2019,Repair Services Nec,773-588-6100,,POINT(-87.7206821124809 41.9610744675197),-87.72068211,41.96107447,
Affordable Window Washing,5015,N Ridgeway Ave,,,Grand Boulevard,Chicago,,Active,Trade Service,Building trades,Yes,2019,Lumbr Plywd Millw,312-924-4897,,POINT(-87.7219446083745 41.9724185340783),-87.72194461,41.97241853,
Agn Mayfair Plaza,4830,N Pulaski Rd,,,Greater Grand Crossing,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Rl Estate Agents Managers,773-202-0178,,POINT(-87.7280989807591 41.9691151363628),-87.72809898,41.96911514,
Agudos Trucking,4429,N Central Park Ave,,,Hegewisch,Chicago,,Unknown,"Wholesale, storage and transit",Goods distribution,Yes,2019,some web,708-563-2820,,POINT(-87.7180165639963 41.961968863863),-87.71801656,41.96196886,
AK Auto Service,4747,N Pulaski Rd,,,Hermosa,Chicago,,Active,Trade Service,Vehicle services,No,2019,Gnrl Atmtve RPR Shp,773-267-4447,,POINT(-87.7279805396855 41.967754786581),-87.72798054,41.96775479,
Aka Dental,4445,N Pulaski Rd,,,Humboldt Park,Chicago,,Out of Business,Health Services,Out-patient,No,2019,Ofcs Clns of Dntst,773-279-9977,,POINT(-87.7278084835625 41.9621980551093),-87.72780848,41.96219806,
Al-Muhaseb,4617,N Kedzie Ave,,,Hyde Park,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Acctng Audtng Bkp,773-588-7133,,POINT(-87.7083445713171 41.9652808638703),-87.70834457,41.96528086,
Alans Washers & Dryers,4036,W Montrose Ave,,,Irving Park,Chicago,,Out of Business,Personal Service,"Laundry, tailor",No,2019,Hshold Applnce Strs,773-545-1353,,POINT(-87.7291747169051 41.9610214707792),-87.72917472,41.96102147,
Albany Bank and Trust,3400,W Lawrence Ave,,,Jefferson Park,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Bank,No,2019,Natnl Commercial Banks,773-267-7300,,POINT(-87.7134509996339 41.9684718590719),-87.713451,41.96847186,www.albanybank.com
Albany Office Supplies,3419,W Lawrence Ave,,,Kenwood,Chicago,,Active,Retail,Office supplies,No,2019,Stationery Stores,773-267-6000,,POINT(-87.714291997013 41.9683575142816),-87.714292,41.96835751,
Albany Park Coin Laundry,5000,N Kedzie Ave,,,Lincoln Park,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,,773-866-1331,,POINT(-87.7086189617206 41.9723097169759),-87.70861896,41.97230972,
Albany Park Fresh Market,3632,W Lawrence Ave,,,Lincoln Square,Chicago,,Out of Business,Retail,Small Grocery,No,2019,,,,POINT(-87.719643 41.968415),-87.719643,41.968415,
Albany Park Partners,4101,W Lawrence Ave,,,Logan Square,Chicago,,Active,"Wholesale, storage and transit",Parking,No,2019,Nrsdntl Building Optrs,773-736-3279,,POINT(-87.730622025897 41.9681765397444),-87.73062203,41.96817654,
Albany Park Smoke Shop,4643,N Kedzie Ave,,,Loop,Chicago,,Active,Retail,Other,No,2019,,773-516-4051,,POINT(-87.7083492479465 41.9660355134956),-87.70834925,41.96603551,
Albany Park Theater Project,5100,N Ridgeway Ave,,,Lower West Side,Chicago,,Active,Arts and Entertainment,Live theater,No,2019,Thtrcl Prdcrs Services,773-866-0875,,POINT(-87.7220979939126 41.9737349403447),-87.72209799,41.97373494,
Albany Remodeling,4511,N Troy St,,,Mckinley Park,Chicago,,Active,Trade Service,Building trades,Yes,2019,Carpentry Work,773-463-3691,,POINT(-87.707065596728 41.9634367021216),-87.7070656,41.9634367,
Albany Restaurant Peking Mandarin,3459,W Lawrence Ave,,,Montclare,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-478-5338,,POINT(-87.7151610002694 41.9683001407684),-87.715161,41.96830014,
Albany Square Laundromat,4445,N Pulaski Rd,,,Morgan Park,Chicago,60630,Active,Personal Service,"Laundry, tailor",No,2019,,847-305-7518,,POINT(-87.7273513 41.9619272),-87.7273513,41.9619272,
Alborada,3503,W Lawrence Ave,,,Near North Side,Chicago,,Active,Retail,Clothing,No,2019,,773-961-7873,,POINT(-87.7160210769668 41.9682976027072),-87.71602108,41.9682976,
Aldi,5001,N Pulaski Rd,,,Near West Side,Chicago,,Active,Retail,Small Grocery,No,2019,Grocery Stores,855-955-2534,,POINT(-87.7280737291164 41.9719184355015),-87.72807373,41.97191844,
Alegna Management Group,4000,W Montrose Ave,,,New City,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,No,2019,Management  Services  po box,888-237-5507,,POINT(-87.7281621709511 41.9609715073267),-87.72816217,41.96097151,
Alegre Bakery,3420,W Montrose Ave,,,North Center,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,Retail Bakeries,773-463-0062,,POINT(-87.7140620256053 41.9611514863246),-87.71406203,41.96115149,
Alexius Enterprises,4922,N Albany Ave,,,North Chicago,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,,773-447-9943,,POINT(-87.706117936087 41.970995717021),-87.70611794,41.97099572,
Alisha Schafer,4614,N Hamlin Ave,,,North Lawndale,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other,Yes,2019,,773-647-9034,,POINT(-87.7230873516542 41.9652082143981),-87.72308735,41.96520821,
All Eyes West,4637,N Drake Ave,,,North Park,Chicago,,Out of Business,Arts and Entertainment,Performers & arts instructors,Yes,2019,Entrs Entrtnmnt Gr,773-322-7394,,POINT(-87.7168830607876 41.9658485342924),-87.71688306,41.96584853,
All Taxes,3754,W Wilson Ave,,,Norwood Park,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,Yes,2019,Tax Retrn Prep Services,773-961-8282,,POINT(-87.7221355318134 41.9647561247683),-87.72213553,41.96475612,
All Way Sign,4453,N Elston Ave,,,Oak Park,Chicago,,Out of Business,Trade Service,Vehicle services,No,2019,Bus  Services  Nec,773-794-1301,,POINT(-87.7308882613943 41.9618364278952),-87.73088826,41.96183643,
All-Connex Technologies,4523,N Drake Ave,,,Oakland,Chicago,,Active,Trade Service,Indoor service,Yes,2019,Electrical Work,773-961-7594,,POINT(-87.7168265316034 41.9636246121915),-87.71682653,41.96362461,
Allen Contracting and Trading,5119,N Springfield Ave,,,Portage Park,Chicago,,Active,Trade Service,Building trades,No,2019,Nondurable Gds Nec,773-936-7928,,POINT(-87.7257145088386 41.9743445029807),-87.72571451,41.9743445,
Allendorfer Roofing,4623,N Pulaski Rd,,,Pullman,Chicago,,Active,Trade Service,Outdoor service,No,2019,Rfng Sdng Sht Mtl,773-463-7808,,POINT(-87.7279255636884 41.9653438635051),-87.72792556,41.96534386,
"Allison Smith, LICSW",4950,N Kimball Ave,,,Riverdale,Chicago,,Out of Business,Health Services,Counselor,No,2019,Ofcs Hlth Prnrs Ne,773-308-6478,,POINT(-87.7134999685967 41.9716519102536),-87.71349997,41.97165191,
Allstate Insurance,3000,W Lawrence Ave,,,Roseland,Chicago,60625,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,,773-271-1010,,POINT(-87.7037381 41.9686369),-87.7037381,41.9686369,
Almaraz Maintenance & Remodeling,3422,W Leland Ave,,,South Chicago,Chicago,,Active,Trade Service,Building trades,Yes,2019,Sngl-Fam Hsng Cnstr,773-456-9530,,POINT(-87.7141610253396 41.9666025219557),-87.71416103,41.96660252,
Alpachi Consulting,4740,N Drake Ave,,,South Deering,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Management Consulting Services,773-676-2975,,POINT(-87.7170284028107 41.96773699395),-87.7170284,41.96773699,
Alpha Studio 1,3610,W Lawrence Ave,A,,South Lawndale,Chicago,,Active,Trade Service,Photo studio,No,2019,,773-679-6657,,POINT(-87.718862008036 41.9684249578157),-87.71886201,41.96842496,
Alteris Realty Group,5116,N Keeler Ave,,,South Shore,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,some web,773-685-6927,,POINT(-87.7331584361697 41.9742089685413),-87.73315844,41.97420897,
Alvarado Food Market,4756,N Bernard St,,,Uptown,Chicago,,Active,Retail,Other food,Yes,2019,Grocery Stores,872-444-5081,,POINT(-87.7146216868071 41.9680443197255),-87.71462169,41.96804432,
Ambassdor Nursing Rehabilitation Center,4900,N Bernard St,,,Washington Heights,Chicago,,Active,Health Services,Therapy outpatient,Yes,2019,Sklld Nrsng Cr Fclt,773-583-7130,,POINT(-87.7146779105641 41.9703745812142),-87.71467791,41.97037458,
Ambrose Builders,3355,W Wilson Ave,,,Washington Park,Chicago,,Out of Business,Trade Service,Building trades,Yes,2019,Sngl-Fam Hsng Cnstr,708-935-5958,,POINT(-87.7129604997259 41.9646504666665),-87.7129605,41.96465047,
Ameer General Merchandise,3444,W Lawrence Ave,,,West Elsdon,Chicago,,Active,Retail,Other,No,2019,Family Clothng Strs,773-539-3050,,POINT(-87.7151520000486 41.9684045117665),-87.715152,41.96840451,
American Buddhist Association,4524,N Richmond St,,,West Englewood,Chicago,,Active,Religious (except school or residence),Other worship,Yes,2019,Membership Organizations Ne,773-583-5794,,POINT(-87.70224996834 41.9638314135567),-87.70224997,41.96383141,
American Dream Services,3837,W Lawrence Ave,,,West Garfield Park,Chicago,,Active,Retail,Electronics & appliances,No,2019,Services  Nec,773-267-1428,,POINT(-87.7246624801312 41.9682029302823),-87.72466248,41.96820293,
American Family Insurance,4035,W Lawrence Ave,,,West Lawn,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Insurance Agnts Sv,773-427-9188,,POINT(-87.7294802204584 41.9681945393054),-87.72948022,41.96819454,
American Home Heating & Air Conditioning,4985,N Elston Ave,,,West Pullman,Chicago,,Active,Retail,Electronics & appliances,No,2019,,773-736-7800,,POINT(-87.7452632984036 41.9712882629333),-87.7452633,41.97128826,
American Indian Center,3401,W Ainslie St,,,West Town,Chicago,,Active,Arts and Entertainment,Museum,No,2019,Cultural center,773-275-5871,,POINT(-87.7137205804574 41.9702014774908),-87.71372058,41.97020148,
American Sightseeing Tours Chicago,4953,N Kedzie Ave,,,Woodlawn,Chicago,,Out of Business,Arts and Entertainment,Travel,No,2019,Amusement Recreation N,312-251-3107,,POINT(-87.7084976469365 41.9713660888786),-87.70849765,41.97136609,
American Tax Service,4324,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Tax Retrn Prep Services,773-282-1040,,POINT(-87.7364946839134 41.9682133376837),-87.73649468,41.96821334,
American Transfer,3212,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Money Transfer Service. Did I answer. Number changed.,773-506-4806,,POINT(-87.7090922 41.9687262),-87.7090922,41.9687262,
Amway Products Distributor,3512,W Leland Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Wholesalers,Yes,2019,Nondurable Goods. Single family home consultant.,773-878-6968,,POINT(-87.7161011959104 41.9665695075715),-87.7161012,41.96656951,
Amy Zavada,4452,N Whipple St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Indvdl Family Services,817-946-1282,,POINT(-87.704628954249 41.9628057482884),-87.70462895,41.96280575,
An Ounce Prevention Pest Control,4978,N Kilpatrick Ave,,,,Chicago,,Active,Trade Service,Indoor service,Yes,2019,"web precense, not recent",773-946-1500,,POINT(-87.7415629751532 41.9718731163034),-87.74156298,41.97187312,
Anchor Carpet Cleaning,3002,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Indoor service,No,2019,Floor Covering Strs,773-267-9565,,POINT(-87.7037343876346 41.9685685602017),-87.70373439,41.96856856,
Anchor Property Management,4945,N Whipple St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,Yes,2019,Subdvdrs Dvlprs N,773-478-8544,,POINT(-87.7048329275141 41.9711131974539),-87.70483293,41.9711132,
Anderson Insurance Brokers,3542,W Montrose Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Insurance Agnts Sv,773-588-3500,,POINT(-87.717038025564 41.9611693355696),-87.71703803,41.96116934,
"Andrea Bukiewicz, CD",4519,N Troy St,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,Yes,2019,Bus  Services  Nec,773-964-6096,,POINT(-87.707065596728 41.9635984502033),-87.7070656,41.96359845,
Andrea Cleaning Service,4900,N Drake Ave,,,,Chicago,,Active,Trade Service,Indoor service,Yes,2019,Repair Services Nec,773-682-2283,,POINT(-87.7171094030015 41.9704379685303),-87.7171094,41.97043797,
Andrew Nails,4005,W Lawrence Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-777-2367,,POINT(-87.7282456199494 41.9681471409181),-87.72824562,41.96814714,
Andy's Fruit Ranch,4733,N Kedzie Ave,,,,Chicago,,Active,Retail,Large grocery,No,2019,,773-583-2322,,POINT(-87.7084210709484 41.967647999996),-87.70842107,41.967648,
Anthony Ibeagha,2846,W Wilson Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other,Yes,2019,,773-454-4254,,POINT(-87.700391276762 41.9647895188184),-87.70039128,41.96478952,
Anti-Gravity Graphics,4449,N Monticello Ave,,,,Chicago,,Active,Trade Service,Media,Yes,2019,Commercial Art Gr Dsg,773-463-1840,,POINT(-87.7192550389391 41.9624731986751),-87.71925504,41.9624732,
AP Trading,3751,W Lawrence Ave,,,,Chicago,,Active,Retail,Other,No,2019,Grocery Stores,773-818-1326,,POINT(-87.7226523227149 41.9682199753901),-87.72265232,41.96821998,
AQ Carpet Cleaning,3215,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Indoor service,No,2019,Repair Services Nec,312-305-1524,,POINT(-87.7091805004014 41.9684105396515),-87.7091805,41.96841054,
Aquest Imaging,4814,N Central Park Ave,,,,Chicago,,Unknown,Other,Research body,Yes,2019,No evidence of business,773-240-9187,,POINT(-87.7182994362927 41.9688624971524),-87.71829944,41.9688625,
Aras Dulce Michocan,3447,W Lawrence Ave,,,,Chicago,,Active,Retail,Other,No,2019,,872-303-6053,,POINT(-87.7151617 41.968297),-87.7151617,41.968297,
Arce Insurance & Travel,3000,W Lawrence Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Insurance Agnts Sv,773-583-9500,,POINT(-87.7040014190393 41.9685105223094),-87.70400142,41.96851052,
Arevalo Tailor Shop,3621,W Lawrence Ave,,,,Chicago,,Active,Personal Service,"Laundry, tailor",No,2019,Misc Rtl Strs Nec,773-744-5258,,POINT(-87.7191353411225 41.968258927986),-87.71913534,41.96825893,
Armando Sound,2959,W Lawrence Ave,,,,Chicago,,Active,Retail,Electronics & appliances,No,2019,Rdo Tv Electrnc S,773-866-9700,,POINT(-87.7033526647243 41.9684664884153),-87.70335266,41.96846649,
Arthur F. Bairstow Excavating,4821,N Spaulding Ave,,,,Chicago,,Active,Trade Service,Other repair,Yes,2019,Excavation Work,773-588-0098,,POINT(-87.7109160203775 41.9691503608509),-87.71091602,41.96915036,
Asesoria De Inmigracion,3538,W Montrose Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,No,2019,Legal  Services,773-539-9395,,POINT(-87.7171639190612 41.9611145333415),-87.71716392,41.96111453,
Asian Youth Services,3117,W Lawrence Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Youth Centers,No,2019,,773-517-8525,,POINT(-87.7067029576275 41.9683940816875),-87.70670296,41.96839408,
ASPIRA Charter School - Haugan Middle School,3729,W Leland Ave,,,,Chicago,,Active,Childcare and Schools,Public school K-12,No,2019,"Math, Science, Language Arts and Social Studies supported by elective courses in Computer Science, Art, Music,  and Physical Education/ Secondary Middle School. Participating grade levels are 6th - 8th grade.",773-252-0970,,POINT(-87.7213636193712 41.9664011431638),-87.72136362,41.96640114,
AT&T Teleholdings,3600,W Montrose Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Warehouse,No,2019,Tele Comm Exc Radi,773-509-2502,,POINT(-87.7186440003913 41.9611064861118),-87.718644,41.96110649,
Ata Private Trucking,4626,N Monticello Ave,,,,Chicago,,Active,"Wholesale, storage and transit",Moving and storage,Yes,2019,Lcl Trckg W/O Strge,773-340-1191,,POINT(-87.7194354062751 41.9652107285364),-87.71943541,41.96521073,
Atek Solutions,4614,W Lawrence Ave,,,,Chicago,,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Other professional,No,2019,Bus  Services  Nec,773-334-1166,,POINT(-87.74357302567 41.9680904858898),-87.74357303,41.96809049,
Athletic Physical Therapy,4833,N Kedzie Ave,,,,Chicago,,Active,Health Services,Therapy outpatient,No,2019,,773-596-5500,,POINT(-87.7084730384876 41.9695742827887),-87.70847304,41.96957428,
Atlas Express Padala,5033,N Elston Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,No,2019,Fnctns Rltd Dep Bkg,773-481-0950,,POINT(-87.7466925584448 41.9721989027564),-87.74669256,41.9721989,
Atlas Resale Shop,4655,N Elston Ave,,,,Chicago,,Out of Business,Retail,Resale,No,2019,,,,POINT(-87.778015 41.969301),-87.778015,41.969301,
Atomic Kitchen Design,4505,N Spaulding Ave,,,,Chicago,,Active,Trade Service,Building trades,Yes,2019,,312-933-4383,,POINT(-87.7107340711082 41.9632288634632),-87.71073407,41.96322886,
Attorney At Law,3657,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Lawyer's office,Yes,2019,,773-387-7901,,POINT(-87.7204201143367 41.9682549392199),-87.72042011,41.96825494,
Austro Financial Services,3760,W Lawrence Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Other financial,No,2019,Management Consulting Services,773-267-7618,,POINT(-87.7229042219987 41.9683145115358),-87.72290422,41.96831451,
Autism Art Connection,3906,W Leland Ave,,,,Chicago,,Active,Social Services & Political Advocacy,Advocacy,Yes,2019,,773-426-5553,,POINT(-87.7258843640891 41.9664544567041),-87.72588436,41.96645446,
Auto Werks,4430,W Lawrence Ave,,,,Chicago,,Active,Trade Service,Vehicle services,No,2019,Gnrl Atmtve RPR Shp,773-205-9990,,POINT(-87.7390258731777 41.968192858839),-87.73902587,41.96819286,
Autozone,4448,N Pulaski Rd,,,,Chicago,,Active,Retail,Auto Supply,No,2019,Auto Home Sppl Str,773-283-6087,,POINT(-87.7278989106739 41.9619677429972),-87.72789891,41.96196774,
Ay Ay Picante,4569,N Elston Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,Eating Places,773-427-4239,,POINT(-87.7341249290923 41.9640245926326),-87.73412493,41.96402459,
Ayyad Haircutters,4409,N Kimball Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-539-9933,,POINT(-87.7130989597555 41.9614436265557),-87.71309896,41.96144363,
AZ Men's Wear,3945,W Lawrence Ave,,,,Chicago,,Active,Retail,Clothing,No,2019,,773-509-9548,,POINT(-87.7273695002393 41.9682125395292),-87.7273695,41.96821254,
Aziz Cafe,4040,W Montrose Ave,,,,Chicago,,Active,Dining,Restaurant,No,2019,,312-569-2975,,POINT(-87.7292012872745 41.9610310831132),-87.72920129,41.96103108,
Azteca Home Improvement,5101,N Springfield Ave,,,,Chicago,,Active,Trade Service,Building trades,No,2019,Sngl-Fam Hsng Cnstr,773-600-5685,,POINT(-87.7257035790365 41.9738846122233),-87.72570358,41.97388461,
