ZCTA_Zipcode,Place Type,count_of_Active_PlaceStatus
60619,Industrial,9
60619,Non-residential religious,34
60619,Other,8
60619,Personal Service,177
60619,Public Services,7
60619,Public services,1
60619,Religious (except school or residence),64
60619,Retail,220
60619,Service or Programmed Residential Space,6
60619,Social Services & Political Advocacy,20
60619,Trade Service,71
60619,Unknown,2
60619,"Wholesale, Storage and Transportation",7
60620,Arts and Entertainment,7
60620,Childcare and Schools,66
60620,Dining,58
60620,F.I.R.E,5
60620,"Financial, Insurance, Real Estate, Legal, and Professional",21
60620,Fitness,4
60620,Health Services,13
60620,Industrial,3
60620,Other,2
60620,Personal Service,85
60620,Public Services,7
60620,Religious (except school or residence),99
60620,Retail,119
60620,Service or Programmed Residential Space,15
60620,Social Services & Political Advocacy,32
60620,Trade Service,51
60620,"Wholesale, Storage and Transportation",15
60621,Arts and Entertainment,1
60621,Childcare and Schools,31
60621,Dining,22
60621,F.I.R.E,5
60621,"Financial, Insurance, Real Estate, Legal, and Professional",4
60621,Fitness,2
60621,Health Services,17
60621,Industrial,2
60621,Other,2
60621,Personal Service,20
60621,Public Services,4
60621,Religious (except school or residence),74
60621,Retail,57
60621,Service or Programmed Residential Space,11
60621,Social Services & Political Advocacy,16
60621,Trade Service,24
60621,"Wholesale, Storage and Transportation",2
60622,Dining,4
60622,"Financial, Insurance, Real Estate, Legal, and Professional",1
60622,Health Services,1
60622,Industrial,1
60622,Retail,1
60622,Trade Service,2
60622,"Wholesale, Storage and Transportation",2
60623,Arts and Entertainment,6
60623,Childcare and Schools,30
60623,Dining,20
60623,F.I.R.E,16
60623,"Financial, Insurance, Real Estate, Legal, and Professional",1
60623,Fitness,2
60623,Health Services,18
60623,Industrial,25
60623,Non-residential religious,30
60623,Other,7
60623,Personal Service,24
60623,Public Services,8
60623,Religious (except school or residence),77
60623,Retail,57
60623,Service or Programmed Residential Space,2
60623,Social Services & Political Advocacy,14
60623,Trade Service,46
60623,"Wholesale, Storage and Transportation",13
60624,Arts and Entertainment,3
60624,Childcare and Schools,15
60624,Cook County Land Bank,1
60624,Dining,24
60624,F.I.R.E,4
60624,"Financial, Insurance, Real Estate, Legal, and Professional",4
60624,Fitness,1
60624,Health Services,12
60624,Industrial,12
60624,Other,1
60624,Personal Service,17
60624,Public Services,6
60624,Religious (except school or residence),42
60624,Retail,68
60624,Service or Programmed Residential Space,5
60624,Social Services & Political Advocacy,8
60624,Trade Service,29
60624,"Wholesale, Storage and Transportation",6
60625,Arts and Entertainment,18
60625,Childcare and Schools,32
60625,Dining,88
60625,"Financial, Insurance, Real Estate, Legal, and Professional",78
60625,Fitness,5
60625,Health Services,55
60625,Industrial,3
60625,Other,1
60625,Personal Service,41
60625,Public Services,3
60625,Religious (except school or residence),11
60625,Retail,124
60625,Service or Programmed Residential Space,5
60625,Social Services & Political Advocacy,12
60625,Trade Service,69
60625,"Wholesale, Storage and Transportation",22
60628,Arts and Entertainment,5
60628,Childcare and Schools,42
60628,Cook County Land Bank,39
60628,Dining,26
60628,"Financial, Insurance, Real Estate, Legal, and Professional",34
60628,Fitness,5
60628,Health Services,15
60628,Industrial,2
60628,Other,1
60628,Personal Service,38
60628,Public Services,9
60628,Religious (except school or residence),70
60628,Retail,74
60628,Service or Programmed Residential Space,10
60628,Social Services & Political Advocacy,22
60628,Trade Service,46
60628,"Wholesale, Storage and Transportation",11
60629,Arts and Entertainment,11
60629,Childcare and Schools,38
60629,Dining,83
60629,F.I.R.E,48
60629,"Financial, Insurance, Real Estate, Legal, and Professional",16
60629,Fitness,5
60629,Health Services,44
60629,Industrial,9
60629,Non-residential religious,15
60629,Other,1
60629,Personal Service,53
60629,Public Services,6
60629,Religious (except school or residence),11
60629,Retail,88
60629,Service or Programmed Residential Space,6
60629,Social Services & Political Advocacy,4
60629,Trade Service,64
60629,"Wholesale, Storage and Transportation",5
60630,Arts and Entertainment,7
60630,Childcare and Schools,5
60630,Dining,26
60630,"Financial, Insurance, Real Estate, Legal, and Professional",20
60630,Fitness,6
60630,Health Services,14
60630,Industrial,1
60630,Personal Service,16
60630,Public Services,2
60630,Religious (except school or residence),8
60630,Retail,39
60630,Service or Programmed Residential Space,1
60630,Social Services & Political Advocacy,4
60630,Trade Service,54
60630,"Wholesale, Storage and Transportation",16
60632,Arts and Entertainment,19
60632,Childcare and Schools,56
60632,Dining,167
60632,"Financial, Insurance, Real Estate, Legal, and Professional",118
60632,Fitness,14
60632,Health Services,76
60632,Industrial,42
60632,Other,1
60632,Personal Service,116
60632,Public Services,13
60632,Religious (except school or residence),24
60632,Retail,241
60632,Service or Programmed Residential Space,3
60632,Social Services & Political Advocacy,16
60632,Trade Service,130
60632,"Wholesale, Storage and Transportation",72
60633,Industrial,3
60633,Personal Service,1
60633,Public Services,1
60633,Social Services & Political Advocacy,1
60634,Arts and Entertainment,2
60634,Childcare and Schools,1
60634,Dining,3
60634,"Financial, Insurance, Real Estate, Legal, and Professional",13
60634,Health Services,18
60634,Personal Service,6
60634,Religious (except school or residence),2
60634,Retail,15
60634,Social Services & Political Advocacy,2
60634,Trade Service,15
60634,"Wholesale, Storage and Transportation",1
60636,Childcare and Schools,30
60636,Dining,22
60636,"Financial, Insurance, Real Estate, Legal, and Professional",10
60636,Fitness,3
60636,Health Services,3
60636,Industrial,4
60636,Other,2
60636,Personal Service,29
60636,Public Services,7
60636,Religious (except school or residence),68
60636,Retail,88
60636,Service or Programmed Residential Space,5
60636,Social Services & Political Advocacy,10
60636,Trade Service,46
60636,"Wholesale, Storage and Transportation",4
60637,Arts and Entertainment,25
60637,Childcare and Schools,128
60637,Cook County Land Bank,40
60637,Dining,83
60637,F.I.R.E,6
60637,"Financial, Insurance, Real Estate, Legal, and Professional",33
60637,Fitness,9
60637,Health Services,37
60637,Industrial,1
60637,Non-residential religious,1
60637,Other,10
60637,Personal Service,62
60637,Public Services,23
60637,Religious (except school or residence),59
60637,Retail,71
60637,Service or Programmed Residential Space,31
60637,Social Services & Political Advocacy,25
60637,Trade Service,36
60637,"Wholesale, Storage and Transportation",14
60638,Dining,2
60638,"Wholesale, Storage and Transportation",1
60639,Arts and Entertainment,11
60639,Childcare and Schools,18
60639,Dining,108
60639,"Financial, Insurance, Real Estate, Legal, and Professional",66
60639,Fitness,6
60639,Health Services,34
60639,Industrial,15
60639,Personal Service,93
60639,Public Services,9
60639,Religious (except school or residence),35
60639,Retail,195
60639,Service or Programmed Residential Space,1
60639,Social Services & Political Advocacy,12
60639,Trade Service,117
60639,"Wholesale, Storage and Transportation",13
60640,Dining,4
60640,Health Services,1
60640,Personal Service,2
60640,Retail,3
60640,Social Services & Political Advocacy,1
60640,Trade Service,1
60640,"Wholesale, Storage and Transportation",1
60641,Arts and Entertainment,4
60641,Dining,15
60641,"Financial, Insurance, Real Estate, Legal, and Professional",24
60641,Health Services,12
60641,Personal Service,14
60641,Public Services,1
60641,Religious (except school or residence),2
60641,Retail,36
60641,Service or Programmed Residential Space,1
60641,Social Services & Political Advocacy,2
60641,Trade Service,28
60641,"Wholesale, Storage and Transportation",2
60642,Dining,2
60642,F.I.R.E,1
60642,"Financial, Insurance, Real Estate, Legal, and Professional",1
60642,Retail,1
60642,Trade Service,1
60643,Arts and Entertainment,6
