census_tract,Place Type,count_of_Active_PlaceStatus
17031030900,Personal Service,1
17031031000,Arts and Entertainment,1
17031031000,Health Services,1
17031031000,Service or Programmed Residential Space,1
17031031400,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031031800,Religious (except school or residence),1
17031031900,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031050600,Trade Service,1
17031062600,Fitness,1
17031062700,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031130200,Dining,3
17031130200,Personal Service,1
17031130200,Retail,1
17031140100,Childcare and Schools,1
17031140100,Dining,5
17031140100,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031140100,Health Services,5
17031140100,Industrial,2
17031140100,Other,1
17031140100,Personal Service,2
17031140100,Retail,8
17031140100,Trade Service,7
17031140100,"Wholesale, Storage and Transportation",3
17031140200,Arts and Entertainment,2
17031140200,Childcare and Schools,6
17031140200,Dining,12
17031140200,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031140200,Health Services,5
17031140200,Personal Service,6
17031140200,Religious (except school or residence),2
17031140200,Retail,19
17031140200,Service or Programmed Residential Space,2
17031140200,Social Services & Political Advocacy,5
17031140200,Trade Service,9
17031140200,"Wholesale, Storage and Transportation",5
17031140301,Arts and Entertainment,2
17031140301,Childcare and Schools,1
17031140301,Dining,16
17031140301,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031140301,Fitness,1
17031140301,Health Services,3
17031140301,Personal Service,5
17031140301,Retail,22
17031140301,Trade Service,4
17031140301,"Wholesale, Storage and Transportation",1
17031140302,Arts and Entertainment,1
17031140302,Childcare and Schools,2
17031140302,Fitness,1
17031140302,Health Services,6
17031140302,Religious (except school or residence),3
17031140302,Retail,3
17031140302,Trade Service,9
17031140302,"Wholesale, Storage and Transportation",2
17031140400,Arts and Entertainment,5
17031140400,Childcare and Schools,2
17031140400,Dining,16
17031140400,"Financial, Insurance, Real Estate, Legal, and Professional",14
17031140400,Fitness,1
17031140400,Health Services,6
17031140400,Industrial,1
17031140400,Personal Service,10
17031140400,Public Services,1
17031140400,Religious (except school or residence),1
17031140400,Retail,22
17031140400,Service or Programmed Residential Space,1
17031140400,Social Services & Political Advocacy,5
17031140400,Trade Service,39
17031140400,"Wholesale, Storage and Transportation",9
17031140500,Arts and Entertainment,1
17031140500,Childcare and Schools,2
17031140500,Dining,8
17031140500,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031140500,Fitness,3
17031140500,Health Services,2
17031140500,Industrial,1
17031140500,Personal Service,7
17031140500,Religious (except school or residence),3
17031140500,Retail,14
17031140500,Social Services & Political Advocacy,2
17031140500,Trade Service,22
17031140500,"Wholesale, Storage and Transportation",6
17031140601,Arts and Entertainment,2
17031140601,Childcare and Schools,1
17031140601,Dining,10
17031140601,"Financial, Insurance, Real Estate, Legal, and Professional",6
17031140601,Health Services,3
17031140601,Personal Service,6
17031140601,Retail,14
17031140601,Service or Programmed Residential Space,2
17031140601,Social Services & Political Advocacy,1
17031140601,Trade Service,13
17031140601,"Wholesale, Storage and Transportation",3
17031140602,Arts and Entertainment,1
17031140602,Childcare and Schools,5
17031140602,Dining,7
17031140602,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031140602,Health Services,7
17031140602,Industrial,1
17031140602,Personal Service,3
17031140602,Retail,15
17031140602,Trade Service,6
17031140602,"Wholesale, Storage and Transportation",9
17031140701,Arts and Entertainment,2
17031140701,Childcare and Schools,2
17031140701,Dining,18
17031140701,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031140701,Health Services,6
17031140701,Personal Service,6
17031140701,Religious (except school or residence),1
17031140701,Retail,25
17031140701,Social Services & Political Advocacy,2
17031140701,Trade Service,8
17031140701,"Wholesale, Storage and Transportation",1
17031140702,Arts and Entertainment,2
17031140702,Childcare and Schools,4
17031140702,Dining,20
17031140702,"Financial, Insurance, Real Estate, Legal, and Professional",12
17031140702,Fitness,2
17031140702,Health Services,3
17031140702,Personal Service,7
17031140702,Public Services,2
17031140702,Religious (except school or residence),2
17031140702,Retail,20
17031140702,Social Services & Political Advocacy,2
17031140702,Trade Service,22
17031140702,"Wholesale, Storage and Transportation",2
17031140800,Arts and Entertainment,9
17031140800,Childcare and Schools,10
17031140800,Dining,12
17031140800,"Financial, Insurance, Real Estate, Legal, and Professional",30
17031140800,Fitness,4
17031140800,Health Services,23
17031140800,Other,1
17031140800,Personal Service,16
17031140800,Religious (except school or residence),4
17031140800,Retail,25
17031140800,Service or Programmed Residential Space,1
17031140800,Social Services & Political Advocacy,4
17031140800,Trade Service,34
17031140800,"Wholesale, Storage and Transportation",3
17031150200,Dining,3
17031150200,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031150200,Health Services,1
17031150200,Personal Service,1
17031150200,Religious (except school or residence),1
17031150200,Retail,3
17031150200,Trade Service,2
17031150300,Retail,1
17031150800,Dining,4
17031150800,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031150800,Fitness,1
17031150800,Health Services,3
17031150800,Personal Service,3
17031150800,Retail,3
17031150800,Social Services & Political Advocacy,1
17031150800,Trade Service,6
17031151002,Dining,3
17031151002,Personal Service,1
17031151002,Retail,2
17031151002,Trade Service,1
17031160501,Personal Service,2
17031160501,Religious (except school or residence),1
17031160501,Retail,2
17031160501,Trade Service,1
17031160501,"Wholesale, Storage and Transportation",1
17031160502,Arts and Entertainment,2
17031160502,Childcare and Schools,1
17031160502,Dining,3
17031160502,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031160502,Fitness,1
17031160502,Health Services,1
17031160502,Industrial,1
17031160502,Personal Service,2
17031160502,Retail,4
17031160502,Social Services & Political Advocacy,1
17031160502,Trade Service,7
17031160502,"Wholesale, Storage and Transportation",2
17031160601,Dining,5
17031160601,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031160601,Fitness,1
17031160601,Retail,3
17031160601,Trade Service,1
17031160601,"Wholesale, Storage and Transportation",1
17031160602,Arts and Entertainment,4
17031160602,Dining,5
17031160602,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031160602,Health Services,3
17031160602,Personal Service,2
17031160602,Retail,2
17031160602,Trade Service,7
17031160700,Dining,4
17031160700,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031160700,Personal Service,2
17031160700,Public Services,2
17031160700,Retail,5
17031160700,Trade Service,4
17031160800,Arts and Entertainment,1
17031160800,Dining,2
17031160800,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031160800,Health Services,5
17031160800,Personal Service,7
17031160800,Retail,3
17031170900,Trade Service,1
17031190100,Arts and Entertainment,1
17031190100,Dining,8
17031190100,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031190100,Health Services,2
17031190100,Personal Service,4
17031190100,Public Services,2
17031190100,Religious (except school or residence),1
17031190100,Retail,15
17031190100,Social Services & Political Advocacy,3
17031190100,Trade Service,3
17031190100,"Wholesale, Storage and Transportation",1
17031190200,Arts and Entertainment,2
17031190200,Dining,5
17031190200,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031190200,Health Services,2
17031190200,Personal Service,4
17031190200,Retail,7
17031190200,Trade Service,6
17031190200,"Wholesale, Storage and Transportation",2
17031190300,Arts and Entertainment,1
17031190300,"Financial, Insurance, Real Estate, Legal, and Professional",4
17031190300,Fitness,1
17031190300,Health Services,1
17031190300,Personal Service,1
17031190300,Religious (except school or residence),1
17031190300,Retail,1
17031190300,Trade Service,2
17031190401,Arts and Entertainment,1
17031190401,Dining,1
17031190401,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031190401,Health Services,1
17031190401,Personal Service,1
17031190401,Trade Service,3
17031190402,Dining,1
17031190402,Retail,1
17031190601,Arts and Entertainment,2
17031190601,Childcare and Schools,1
17031190601,Dining,1
17031190601,Personal Service,2
17031190601,Retail,2
17031190602,Dining,1
17031190701,Childcare and Schools,1
17031190701,Dining,1
17031190701,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031190701,Personal Service,1
17031190701,Retail,1
17031190800,Arts and Entertainment,1
17031190800,Childcare and Schools,1
17031190800,Dining,2
17031190800,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031190800,Health Services,1
17031190800,Personal Service,5
17031190800,Religious (except school or residence),1
17031190800,Retail,15
17031190800,Trade Service,5
17031190800,"Wholesale, Storage and Transportation",3
17031190900,Dining,2
17031190900,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031190900,Health Services,3
17031190900,Personal Service,1
17031190900,Retail,9
17031190900,Social Services & Political Advocacy,1
17031190900,Trade Service,2
17031191000,Dining,4
17031191000,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031191000,Health Services,1
17031191000,Personal Service,2
17031191000,Religious (except school or residence),1
17031191000,Retail,9
17031191000,Trade Service,4
17031191000,"Wholesale, Storage and Transportation",1
17031191100,Dining,4
17031191100,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031191100,Industrial,1
17031191100,Public Services,1
17031191100,Religious (except school or residence),1
17031191100,Retail,14
17031191100,Trade Service,9
17031191100,"Wholesale, Storage and Transportation",2
17031191200,Dining,1
17031191200,Industrial,1
17031191200,Public Services,3
17031191200,Religious (except school or residence),1
17031191200,Retail,2
17031191200,Trade Service,4
17031191200,"Wholesale, Storage and Transportation",1
17031191302,Arts and Entertainment,1
17031191302,Dining,2
17031191302,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031191302,Industrial,1
17031191302,Personal Service,3
17031191302,Public Services,1
17031191302,Religious (except school or residence),1
17031191302,Retail,6
17031191302,Trade Service,9
17031191302,"Wholesale, Storage and Transportation",1
17031200100,Arts and Entertainment,5
17031200100,Childcare and Schools,1
17031200100,Dining,4
17031200100,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031200100,Health Services,1
17031200100,Industrial,1
17031200100,Personal Service,5
17031200100,Religious (except school or residence),1
17031200100,Retail,8
17031200100,Trade Service,15
17031200100,"Wholesale, Storage and Transportation",2
17031200200,Arts and Entertainment,1
17031200200,Childcare and Schools,2
17031200200,Dining,5
17031200200,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031200200,Health Services,3
17031200200,Industrial,5
17031200200,Personal Service,10
17031200200,Religious (except school or residence),5
17031200200,Retail,15
17031200200,Social Services & Political Advocacy,2
17031200200,Trade Service,17
17031200200,"Wholesale, Storage and Transportation",7
17031200300,Arts and Entertainment,1
17031200300,Childcare and Schools,1
17031200300,Dining,4
17031200300,"Financial, Insurance, Real Estate, Legal, and Professional",9
17031200300,Health Services,4
17031200300,Industrial,3
17031200300,Personal Service,4
17031200300,Religious (except school or residence),4
17031200300,Retail,11
17031200300,Trade Service,6
17031200300,"Wholesale, Storage and Transportation",2
17031200401,Childcare and Schools,1
17031200401,Dining,3
17031200401,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031200401,Fitness,2
17031200401,Health Services,1
17031200401,Personal Service,2
17031200401,Religious (except school or residence),2
17031200401,Retail,2
17031200401,Social Services & Political Advocacy,1
17031200401,Trade Service,6
17031200401,"Wholesale, Storage and Transportation",1
17031200402,Arts and Entertainment,3
17031200402,Childcare and Schools,1
17031200402,Dining,8
17031200402,"Financial, Insurance, Real Estate, Legal, and Professional",5
17031200402,Fitness,1
17031200402,Health Services,5
17031200402,Industrial,1
17031200402,Personal Service,2
17031200402,Religious (except school or residence),5
17031200402,Retail,10
17031200402,Trade Service,6
17031210100,Arts and Entertainment,6
17031210100,Childcare and Schools,7
17031210100,Dining,16
17031210100,"Financial, Insurance, Real Estate, Legal, and Professional",13
17031210100,Fitness,3
17031210100,Health Services,3
17031210100,Industrial,3
17031210100,Other,1
17031210100,Personal Service,5
17031210100,Public Services,1
17031210100,Religious (except school or residence),2
17031210100,Retail,15
17031210100,Service or Programmed Residential Space,1
17031210100,Trade Service,33
17031210100,"Wholesale, Storage and Transportation",4
17031210400,Childcare and Schools,1
17031210400,Dining,1
17031210400,"Financial, Insurance, Real Estate, Legal, and Professional",3
17031210400,Fitness,1
17031210400,Health Services,1
17031210400,Industrial,1
17031210400,Personal Service,4
17031210400,Retail,12
17031210400,Service or Programmed Residential Space,1
17031210400,Trade Service,12
17031210400,"Wholesale, Storage and Transportation",4
17031210501,Arts and Entertainment,1
17031210501,Childcare and Schools,2
17031210501,Dining,9
17031210501,"Financial, Insurance, Real Estate, Legal, and Professional",8
17031210501,Health Services,7
17031210501,Personal Service,10
17031210501,Retail,15
17031210501,Social Services & Political Advocacy,2
17031210501,Trade Service,15
17031210501,"Wholesale, Storage and Transportation",3
17031210502,Arts and Entertainment,1
17031210502,Childcare and Schools,1
17031210502,Dining,4
17031210502,"Financial, Insurance, Real Estate, Legal, and Professional",1
17031210502,Fitness,1
17031210502,Health Services,2
17031210502,Personal Service,2
17031210502,Public Services,1
17031210502,Religious (except school or residence),2
17031210502,Retail,11
17031210502,Trade Service,15
17031210502,"Wholesale, Storage and Transportation",4
17031210601,Arts and Entertainment,1
17031210601,Childcare and Schools,1
17031210601,Dining,3
17031210601,"Financial, Insurance, Real Estate, Legal, and Professional",2
17031210601,Fitness,1
17031210601,Health Services,2
17031210601,Personal Service,2
17031210601,Religious (except school or residence),1
17031210601,Retail,3
17031210601,Social Services & Political Advocacy,1
17031210601,Trade Service,10
17031210601,"Wholesale, Storage and Transportation",1
17031210602,Arts and Entertainment,4
17031210602,Childcare and Schools,4
