Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
D&Y Grocery Store,8200,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Retail,Large grocery,No,2019,,773-224-9900,,POINT(-87.6052987 41.7456912),-87.6052987,41.7456912,
Dad's Discounts,201,W 87th St,,,,Chicago,,Active,Retail,Department store,No,2019,No phone number,,,POINT(-87.6287941 41.7349837),-87.6287941,41.7349837,
Dady Food and Liquor Mart,833,E 79th St,,,,Chicago,,Active,Retail,Convenience,No,2019,,,,POINT(-87.6037295 41.7510014),-87.6037295,41.7510014,
Daniel Bookkeeping Service,732,E 92nd St,,,,Chicago,,Unknown,"Financial, Insurance, Real Estate, Legal, and Professional",Accountant,Yes,2019,,773-874-0842,,POINT(-87.6057163 41.7277408),-87.6057163,41.7277408,
Danielle's Home Day Care,8151,S Ingleside Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Gaslne Svc Stations,773-403-5326,,POINT(-87.601048 41.746166),-87.601048,41.746166,
Dat Donut,8251,S Cottage Grove Ave,,,,Chicago,,Active,Dining,Cafe-Bakery-Specialty,No,2019,,773-723-1002,,POINT(-87.6046361 41.7443552),-87.6046361,41.7443552,
Data Training Consultants,8401,S Ingleside Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Hsehld Frnshngs Ne  Consultant   additional # 866-539-3199,773-488-2979,,POINT(-87.6011093 41.7420498),-87.6011093,41.7420498,
Davis News Service,8118,S Prairie Park Pl,,,,Chicago,60619,Out of Business,Retail,Bookstore,Yes,2019,Eating Places,773-752-2207,,POINT(-87.618885 41.746976),-87.618885,41.746976,
Daybright Home Day Care,72,E 89th Pl,,,,Chicago,,Unknown,Childcare and Schools,Home daycare,Yes,2019,Religious Organizations,,,POINT(-87.6212025 41.7320461),-87.6212025,41.7320461,
Dazal'e Boutique Stylez,505,E 79th St,,,,Chicago,60619,Out of Business,Retail,Clothing,No,2019,Plbng Htng Air-Co,,,POINT(-87.6122436 41.7510188),-87.6122436,41.7510188,
De Love Styles,8241,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,,,,POINT(-87.6048415 41.7445561),-87.6048415,41.7445561,
De's Hair Cottage,8152,S Cottage Grove Ave,,,,Chicago,,Active,Personal Service,Beauty,No,2019,Eating Places,773-846-7427,,POINT(-87.6053303 41.7460155),-87.6053303,41.7460155,
Dell Corporation Vendors,8042,S Calumet Ave,,,,Chicago,,Unknown,Retail,Electronics & appliances,Yes,2019,Commercial Printng Ne,,,POINT(-87.6168445 41.74797),-87.6168445,41.74797,
Dental Dream Team,820,E 87th St,Ste 101,,,Chicago,,Active,Health Services,Dentist,Yes,2019,Bus  Services  Nec,773-224-2121,,POINT(-87.6038951 41.7369758),-87.6038951,41.7369758,
Dependable Limo,653,E 90th St,,,,Chicago,60619,Out of Business,"Wholesale, storage and transit","Taxi, limo and similar",Yes,2019,,773-873-1830,,POINT(-87.607433 41.7309448),-87.607433,41.7309448,
Derrick Means,7953,S Prairie Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Tp Bdy Rpr Pnt Sh,773-846-9798,,POINT(-87.6177271 41.7495482),-87.6177271,41.7495482,
Design On A Dime,7918,S Ellis Ave,,,,Chicago,60619,Out of Business,Unknown,Unknown,Yes,2019,Plbng Htng Air-Co,773-915-7373,,POINT(-87.6006227 41.7507037),-87.6006227,41.7507037,
Destiny Dental,712,E 87th St,Ste D,,,Chicago,,Active,Health Services,Dentist,No,2019,Bus  Services  Nec,773-783-9000,,POINT(-87.605867 41.737091),-87.605867,41.737091,
Devon Financial Services,8256,S Cottage Grove Ave,,,,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Payday loan,No,2019,,773-690-4200,,POINT(-87.6053305 41.7441364),-87.6053305,41.7441364,
Dickerson Coleman Agency,8751,S Cottage Grove Ave,,,,Chicago,60619,Out of Business,Trade Service,Other,No,2019,Eating Places,773-723-2785,,POINT(-87.6043468 41.7351568),-87.6043468,41.7351568,
Digby & Digby Realty,601,E 87th St,,,,Chicago,60619,Out of Business,"Financial, Insurance, Real Estate, Legal, and Professional",Property service office,No,2019,Management  Services,773-873-4050,,POINT(-87.609516 41.7363914),-87.609516,41.7363914,
Diola's Snow Bunny Day Care,348,E 90th St,,,,Chicago,,Active,Childcare and Schools,Kid Center,No,2019,,773-322-4392,,POINT(-87.6155332 41.7312293),-87.6155332,41.7312293,
Discount Meat,337,W 79th St,,,,Chicago,,Active,Retail,Small Grocery,No,2019,Data Proc Preparat,773-994-0318,,POINT(-87.6333345 41.7504553),-87.6333345,41.7504553,
